key,en,ja,zh_CN
<!MissingKey:!? >,"!? 
This smell is...","！？ 
この臭いは……","！？
这股臭味是……"
<!MissingKey:Chimera?>,"Chimera?
Damn, 
how did it show up here?","カメラ？
くそ、どうしてここに現れたんだ？","喀迈拉？
该死的，
它怎么会出现在这里？"
<!MissingKey:It seems like it's wide ahead.>,"It seems like it's wide ahead.
Finally, we can get out of here.","前方は広そうだ。
やっとここから出られる。","前面好像很开阔。
总算可以脱离这里了。"
"<!MissingKey:How strange, I smell it too.>","How strange, I smell it too.",不思議だ、私もその匂いがする。,真奇特，我也闻到了。
"<!MissingKey:Phew, it's a small matter.>","Phew, it's a small matter.",ふぅ、ちょっとしたことだ。,呼，小事一桩。
<!MissingKey:Is there... the smell of sulfur?>,Is there... the smell of sulfur?,硫黄の臭いがするか？,是不是有股……硫磺的味道？
"<!MissingKey:Found... player,>","Found... player,
enemy, enemy—","発見……プレイヤー、
敵、敵——","发现……玩家，
敌人，敌人——"
<!MissingKey:Begin... annihilation...>,Begin... annihilation...,始めろ……殲滅……,开始……歼灭……
<!MissingKey:...>,...,……,……
"<!MissingKey:Hey, stop right there!>","Hey, stop right there!
You don't look too friendly.","おい、止まれ！
あまり友好的には見えないな。","嘿，给我停下！
你看起来可不太友善。"
