key,en,ja,zh_CN
"<!MissingKey:Oh my God,>","Oh my God,
we really beat this giant monster.","なんてこった、
本当にこの巨大なモンスターを倒した。","老天爷啊，
我们居然真的赢了这头庞然巨物。"
<!MissingKey:Tsk...>,"Tsk...
Has Unican already been absorbed?
Looks like I’m too late.","ちっ…
ユニカンはもう吸収されたのか？
どうやら遅すぎたようだな。","啧……
伟旋已经被吸收了吗？
看来我来晚了一步。"
<!MissingKey:Damn...>,"Damn...
Without Shan, we can’t defeat this guy...","くそ…
杉がいなければ、この奴には勝てない…。","可恶……
没有了杉，我们根本打不过这家伙……"
"<!MissingKey:After all, I haven’t found the Trizon yet,>","After all, I haven’t found the Trizon yet,
I just heard there was some noise here,
so I came rushing over.","まだトライゾンを見つけていなくて、
さっきここで騒ぎがあると聞いて、
急いで駆けつけたんだ。","毕竟我还没找到权势卡，
刚刚只是听到这里有动静，
便赶了过来而已。"
"<!MissingKey:For that,>","For that,
she will first kill these monsters,
because the monsters don’t know mercy.","そのために、
まずこのモンスターたちを全て殺すだろう、
モンスターたちは容赦を知らないから。","为此，
她会先把这几只怪物杀光，
因为怪物们不懂得手下留情。"
<!MissingKey:Ugh...>,Ugh...,うっ…,呕……
<!MissingKey:You’re... that strange person from before.>,"You’re... that strange person from before.
Ah, I’m completely lost now...","お前は…前のあの変な奴か。
あぁ、もう完全に状況がわからなくなった…","你是……之前那个怪人。
啊，我已经完全搞不清楚状况了……"
"<!MissingKey:Shan, Shan!>","Shan, Shan!
Damn, she has no consciousness at all.
Is this the end this time...","杉、杉！
まずい、意識が全くない。
今回はこれで終わりか…","杉，杉！
完蛋，她一点儿意识都没有了。
这次就到此为止了么……"
<!MissingKey:Damn... so that means...>,"Damn... so that means...
as long as I arrange a battle where Shan runs out of everything,
she’ll never be able to start over again.","くそ…つまり…
杉が弾尽きる戦いをさせれば、
もう二度とやり直せなくなる。","该死的……也就是说……
最后只要给杉安排一场弹尽粮绝的战斗，
她就永远无法重新来过。"
"<!MissingKey:Brainless puppet, I couldn’t care less about you.>","Brainless puppet, I couldn’t care less about you.
I’m just here to guard the Trizon—
but now, plans have changed.","頭の悪い操り人形、どうでもいい。
私はトライゾンを守るために来ただけだが—
今は、計画が変更された。","无脑的傀儡，我才懒得管你。
我只是来镇守权势卡的——
不过现在嘛，计划有变。"
"<!MissingKey:The monsters... the monsters will wipe us out,>","The monsters... the monsters will wipe us out,
doesn’t she want us to die here?","モンスター…モンスターが私たちを全滅させる、
彼女は私たちがここで死ぬのを望んでいないのか？","怪物……怪物会把我们团灭，
难道她不希望我们死在这里？"
"<!MissingKey:Now, Miss,>","Now, Miss,
please go die for a moment.","さあ、女性、
まず死んでくれ。","现在，小姐，
请你先去死一死吧。"
