key,en,ja,zh_CN
"<!MissingKey:She saw you weren’t waking up,  >","She saw you weren’t waking up,  
so she decided to set out on her own  
to find that friend of hers.","お前が目覚めないのを見て、  
彼女はひとりで旅立った。  
友達を探しに。","她见你一直不醒，
于是决定自己上路，
去找她的那个朋友。"
"<!MissingKey:...At least, that’s what she told me.>","...At least, that’s what she told me.",……少なくとも、そう説明していた。,……至少她给我的解释就是如此。
<!MissingKey:Ugh...  >,"Ugh...  
How long was I unconscious?","うぅ……  
どれくらい気を失ってた？","呃……
我失去意识多久了？"
<!MissingKey:...Yeah.  >,"...Yeah.  
After you obtained the Grand Spiral, you passed out,  
and we couldn’t do anything.","……ああ。  
お前がグランドスパイラルを手に入れた途端、昏睡して、  
俺たちは為す術がなかった。","……是的。
你在获得伟旋以后便昏迷不醒，
我们束手无策。"
<!MissingKey:Alright.  >,"Alright.  
What about Sizel?  
Where did she go?","わかった。  
セイゼルは？  
どこに行ったんだ？","好吧。
塞泽尔呢？
她去哪了？"
<!MissingKey:I'm fine.  >,"I'm fine.  
...That Trizon card,  
it seems to be completely under my control now.","問題ない。  
……あのトライゾン、  
完全に俺のものになったみたいだ。","我没事。
……那张权势卡，
它似乎完全为我所用了。"
<!MissingKey:...  >,"...  
I hope this was all worth it.","……  
この犠牲が報われるといいが。","……
希望这一切都是值得的。"
"<!MissingKey:With this power,  >","With this power,  
we can reach places we’ve never been before.","この力があれば、  
今まで行けなかった場所へ進める。","有了这股力量，
我们可以深入到之前从未抵达过的地方。"
<!MissingKey:!……>,!……,！……,！……
<!MissingKey:Leaving the party... on her own...  >,"Leaving the party... on her own...  
That’s too dangerous...!  
Did she really do that?","パーティーを離れて、一人で……  
危険すぎる……！  
本当に行ったのか？","脱离玩家的队伍……一个人……
这太危险了……！
她真的这么做了？"
<!MissingKey:If we can find Huse  >,"If we can find Huse  
and collect all three Trizon cards,  
everyone can return to the real world.","ヒューズを見つけて、  
トライゾンを三枚揃えれば、  
みんな現実に戻れる。","如果我们能找到休斯，
凑齐三张权势卡，
大家就能回到现实了。"
<!MissingKey:...  >,"...  
You're finally awake.","……  
やっと目が覚めたな。","……
你总算醒了。"
<!MissingKey:Did we get completely wiped out?>,Did we get completely wiped out?,俺たち、全滅したのか？,我们是被团灭了吗？
<!MissingKey:...>,...,……,……
"<!MissingKey:She’ll be fine, Shan.  >","She’ll be fine, Shan.  
More importantly,  
you defeated Chimera and obtained the Grand Spiral.","杉、彼女は大丈夫だ。  
それより、お前はキメラを倒し、  
グランドスパイラルを手に入れたんだ。","她会没事的，杉。
比起那个，
更重要的是你打败了喀迈拉，获得了伟旋。"
<!MissingKey:...  >,"...  
I just need some time to adjust.","……  
まだ、少し慣れない。","……
我只是还有些不适应。"
<!MissingKey:A few days.  >,"A few days.  
Are you feeling alright?","数日だ。  
体は大丈夫か？","好几天。
身体无恙吧？"
